success_rate,company_name,address,city,state,zip,latitude,longitude,employee_count,sales,sic_code,sic_description,naics_code,naics_description,credit_rating,credit_score,home_business,year_est,sq_footage,pc_count
0,Aldrich Notary Svc,8201 Camino Colegio # 147,Rohnert Park,CA,94928,38.328036,-122.686021,1,"$175,000 ",7389-79,Notaries-Public,54112001,Offices Of Notaries,C+,77,Yes,2004,"2,500 - 9,999",0 - 1 Pcs
1,WJB Investigations,820 Millbrae Ave,Santa Rosa,CA,95407,38.368708,-122.745867,1,"$175,000 ",7389-94,Process Servers,54119905,All Other Legal Services,C+,77,Yes,2004,"2,500 - 9,999",0 - 1 Pcs
1,Daniel Signs,210 Arboleda Dr,Santa Rosa,CA,95401,38.437598,-122.755577,1,"$173,000 ",3993-98,Signs & Advertising Specialties (Mfrs),33995009,Sign Manufacturing,C+,79,Yes,2004,"2,500 - 9,999",0 - 1 Pcs
1,True North Signs & Graphics,2277 Chancery Ct,Santa Rosa,CA,95403,38.475931,-122.75784,1,"$173,000 ",3993-98,Signs & Advertising Specialties (Mfrs),33995009,Sign Manufacturing,C+,79,Yes,2004,"2,500 - 9,999",0 - 1 Pcs
0,Joseph Family Vineyards,10300 Highway 128,Healdsburg,CA,95448,38.647376,-122.774362,1,"$170,000 ",0172-01,Vineyards,11133201,Grape Vineyards,C+,79,Yes,2004,"2,500 - 9,999",0 - 1 Pcs
1,Classy Lassie Dog Grooming,3200 Dutton Ave # 121,Santa Rosa,CA,95407,38.398699,-122.722116,2,"$168,000 ",0752-04,Pet Washing & Grooming,81291021,Pet Care (Except Veterinary) Services,C+,79,No,2004,"0 - 2,499",0 - 1 Pcs
0,Lo Voltage,492 Colonial Park Dr,Santa Rosa,CA,95403,38.519724,-122.777662,1,"$164,000 ",1731-07,Telecommunications Contractors,23821024,Electrical Contr & Other Wiring Installation Contr,C+,79,Yes,2004,"0 - 2,499",0 - 1 Pcs
1,Brick House Bungalows,313 1st St E,Sonoma,CA,95476,38.295174,-122.456384,2,"$152,000 ",7011-07,Bed & Breakfast Accommodations,72119101,Bed-&-Breakfast Inns,B,82,No,2004,"2,500 - 9,999",0 - 1 Pcs
0,Poster Collector,2555 Fremont Dr,Sonoma,CA,95476,38.24573,-122.420468,1,"$152,000 ",2752-03,Posters (Mfrs),32311164,Commercial Printing (Except Screen & Books),C+,79,Yes,2004,"2,500 - 9,999",0 - 1 Pcs
1,Strada Design Group,8905 Heritage Dr,Windsor,CA,95492,38.551603,-122.796854,1,"$148,000 ",0781-03,Landscape Designers,54132004,Landscape Architectural Services,C+,79,Yes,2004,"0 - 2,499",0 - 1 Pcs
0,Angelis Distributing,1945 Piner Rd # 8,Santa Rosa,CA,95403,38.467151,-122.749765,1,"$141,000 ",4212-05,Delivery Service,48411004,"General Freight Trucking, Local",C+,77,Yes,2004,"2,500 - 9,999",0 - 1 Pcs
1,M & B Express Notary,PO Box 7656,Cotati,CA,94931,38.324229,-122.710096,1,"$141,000 ",4212-05,Delivery Service,48411004,"General Freight Trucking, Local",C+,77,No,2004,"2,500 - 9,999",0 - 1 Pcs
0,C V Plumbing,80 Industrial Dr,Cloverdale,CA,95425,38.795715,-123.02094,1,"$134,000 ",5999-05,Water Heaters-Dealers,44314130,Household Appliance Stores,C+,79,No,2004,"0 - 2,499",0 - 1 Pcs
0,Denison Realty,6071 Donna Ct,Rohnert Park,CA,94928,38.353102,-122.699618,1,"$134,000 ",6531-18,Real Estate,53121003,Offices Of Real Estate Agents & Brokers,C+,79,Yes,2004,"0 - 2,499",0 - 1 Pcs
1,Great SUNSATIONS,508 7th St,Santa Rosa,CA,95401,38.442008,-122.717139,2,"$124,000 ",7299-44,Tanning Salons,81219910,Other Personal Care Services,C+,77,No,2004,"0 - 2,499",0 - 1 Pcs
1,Vital Touch,1431 Town And Country Dr # C,Santa Rosa,CA,95404,38.453999,-122.702577,1,"$121,000 ",8049-13,Acupuncture,62139901,Offices Of All Other Misc Health Practitioners,C+,79,No,2004,"0 - 2,499",0 - 1 Pcs
1,California Bagels Deli & Cafe,124 Calistoga Rd,Santa Rosa,CA,95409,38.465483,-122.653372,2,"$112,000 ",5461-01,Bagels,72251502,Snack & Nonalcoholic Beverage Bars,C+,79,No,2004,"0 - 2,499",0 - 1 Pcs
0,Highway 12 Hair,4358 Sonoma Hwy,Santa Rosa,CA,95409,38.456858,-122.675988,2,"$110,000 ",7231-06,Beauty Salons,81211202,Beauty Salons,C+,79,No,2004,"0 - 2,499",0 - 1 Pcs
0,Spa At The Grove,2097 Stagecoach Rd # 240,Santa Rosa,CA,95404,38.49556,-122.70151,2,"$110,000 ",7231-06,Beauty Salons,81211202,Beauty Salons,C+,79,No,2004,"0 - 2,499",0 - 1 Pcs
0,Sales Promotion,14 Bay Tree Ct,Cotati,CA,94931,38.330374,-122.698093,1,"$103,000 ",7319-19,Advertising-Promotional,54189006,Other Services Related To Advertising,C,74,Yes,2004,"2,500 - 9,999",0 - 1 Pcs
0,Mission Hills Trading Group,300 Furlong Rd,Sebastopol,CA,95472,38.392116,-122.88716,1,"$102,000 ",5331-02,Trading Posts,45299012,All Other General Merchandise Stores,C+,79,No,2004,"0 - 2,499",0 - 1 Pcs
0,Earth Wave Records & Cds,1451 Southwest Blvd # 123,Rohnert Park,CA,94928,38.339536,-122.686576,1,"$101,000 ",5932-33,Records Tapes Cd's Used & Vintage,45331030,Used Merchandise Stores,C+,79,No,2004,"0 - 2,499",0 - 1 Pcs
1,Minniglen Ranch,17700 Carriger Rd,Sonoma,CA,95476,38.313694,-122.511978,1,"$97,000 ",0291-01,Ranches,11299013,All Other Animal Production,C+,79,Yes,2004,"2,500 - 9,999",0 - 1 Pcs
1,Redwood Empire Restoration,2097 Bellevue Rnch,Santa Rosa,CA,95407,38.408459,-122.735599,1,"$89,000 ",7217-04,Carpet & Rug Cleaners,56174001,Carpet & Upholstery Cleaning Services,C+,77,Yes,2004,"2,500 - 9,999",0 - 1 Pcs
1,Ata Lansing Blackbelt Academy,397 Aviation Blvd,Santa Rosa,CA,95403,38.511751,-122.7799,1,"$84,000 ",7999-45,Martial Arts Instruction,61162014,Sports & Recreation Instruction,C+,79,No,2004,"0 - 2,499",0 - 1 Pcs
0,H Bar D Stables,53 Wilson Hill Rd,Petaluma,CA,94952,38.16894,-122.813002,1,"$84,000 ",7999-68,Stables,71399050,All Other Amusement & Recreation Industries,C+,79,Yes,2004,"0 - 2,499",0 - 1 Pcs
0,Watch Dog,326 2nd St,Healdsburg,CA,95448,38.611975,-122.860162,1,"$84,000 ",0752-11,Pet Boarding Sitting & Kennels,81291028,Pet Care (Except Veterinary) Services,C+,79,Yes,2004,"0 - 2,499",0 - 1 Pcs
0,Bridal Path,530 Irwin Ln,Santa Rosa,CA,95401,38.431564,-122.785437,1,"$55,000 ",7299-32,Wedding Consultants Planning/Arranging,81299033,All Other Personal Services,C+,77,Yes,2004,"0 - 2,499",0 - 1 Pcs
1,Faith Tattoo & Piercing,10 Enterprise Dr # A,Rohnert Park,CA,94928,38.34489,-122.709972,1,"$55,000 ",7299-43,Tattooing,81299030,All Other Personal Services,C+,77,No,2004,"0 - 2,499",0 - 1 Pcs
0,Sonoma Salon,18375 Highway 12 # B,Sonoma,CA,95476,38.311279,-122.480055,1,"$55,000 ",7231-06,Beauty Salons,81211202,Beauty Salons,C+,79,No,2004,"0 - 2,499",0 - 1 Pcs
0,Studio 28 Salon,588 1st St W,Sonoma,CA,95476,38.290474,-122.458963,1,"$55,000 ",7231-06,Beauty Salons,81211202,Beauty Salons,C+,79,No,2004,"0 - 2,499",0 - 1 Pcs
0,Zweerz,604 Crinella Dr,Petaluma,CA,94954,38.247702,-122.614359,1,"$49,000 ",7389-99,Business Services NEC,56199001,All Other Support Services,C+,77,No,2004,"2,500 - 9,999",
1,She Hasta Bee,4989 Occidental Rd,Santa Rosa,CA,95401,38.424276,-122.794706,2,"$48,000 ",0279-02,Beekeepers,11291001,Apiculture,C+,79,Yes,2004,"2,500 - 9,999",0 - 1 Pcs
0,Master's Tax Svc,716 College Ave # E,Santa Rosa,CA,95404,38.445253,-122.713961,1,"$31,000 ",7291-01,Tax Return Preparation & Filing,54121301,Tax Preparation Services,C+,79,No,2004,"0 - 2,499",2 - 9 Pcs
0,Investigative Services,8690 Trenton Rd,Forestville,CA,95436,38.490836,-122.898096,1,"$29,000 ",7381-08,Investigators,56161107,Investigation Services,C+,77,Yes,2004,"0 - 2,499",0 - 1 Pcs
0,Ag Innovations Network,101 Morris St # 212,Sebastopol,CA,95472,38.40344,-122.818821,3,$0 ,8399-37,Environmental Conservation/Ecologcl Org,81331210,"Environment, Conservation & Wildlife Organizations",I,0,No,2004,"2,500 - 9,999",0 - 1 Pcs
1,Allied Cash Advance,6406 Commerce Blvd,Rohnert Park,CA,94928,38.346613,-122.7095,3,$0 ,6141-13,Payday Loans,52229111,Consumer Lending,U,63,No,2004,"2,500 - 9,999",2 - 9 Pcs
1,Cazadero Community Church,6205 Cazadero Hwy,Cazadero,CA,95421,38.527147,-123.151259,3,$0 ,8661-07,Churches,81311008,Religious Organizations,I,0,No,2004,"10,000 - 39,999",2 - 9 Pcs
1,New Day Christian Church,149 Stony Cir # 210,Santa Rosa,CA,95401,38.439877,-122.744525,3,$0 ,8661-07,Churches,81311008,Religious Organizations,I,0,No,2004,"10,000 - 39,999",2 - 9 Pcs
0,Spanish Works Inc,PO Box 1434,Healdsburg,CA,95448,38.614176,-122.865231,2,$0 ,8299-29,Educational Service-Business,61171003,Educational Support Services,C+,79,No,2004,"0 - 2,499",0 - 1 Pcs
1,Darwins Workshop,11062 Graton Rd,Sebastopol,CA,95472,38.425775,-122.898065,1,$0 ,8299-09,Tutoring,61169102,Exam Preparation & Tutoring,C+,79,Yes,2004,"0 - 2,499",0 - 1 Pcs
0,Great Burro Studios LLC,3598 Gravenstein Hwy S # B,Sebastopol,CA,95472,38.365574,-122.781807,1,$0 ,8299-18,Music Instruction-Instrumental,61161005,Fine Art Schools,C+,79,No,2004,"0 - 2,499",0 - 1 Pcs
1,Grey School Of Wizardry,795 Helman Ln,Cotati,CA,94931,38.340804,-122.723488,1,$0 ,8211-03,Schools,61111007,Elementary & Secondary Schools,I,0,No,2004,"2,500 - 9,999",2 - 9 Pcs
1,Silence In Song,2162 Sunleaf Ln,Santa Rosa,CA,95403,38.458698,-122.735618,1,$0 ,9999-77,Nonclassified Establishments,99999004,Unclassified Establishments,C,74,Yes,2004,"2,500 - 9,999",2 - 9 Pcs
0,United Flyers Of Sonoma,635 Claudius Way,Windsor,CA,95492,38.556728,-122.815967,1,$0 ,8399-98,Non-Profit Organizations,81331908,Other Social Advocacy Organizations,I,0,Yes,2004,"2,500 - 9,999",2 - 9 Pcs
1,Rotoblock Corp,300 B St,Santa Rosa,CA,95401,38.43972,-122.715592,,$0 ,3511-09,Engine Manufacturers & Distributors,33361109,Turbine & Turbine Generator Set Units Mfg,A+,100,No,2004,"2,500 - 9,999",
